label,tp,fp,fn,support_gt,support_pred,precision,recall,f1
"Ferramenta e fissaggi (chiodi, viti, bulloni, tasselli, staffe)",4,7,6,10,11,0.36363636363636365,0.4,0.380952380952381
"Solventi aromatici/clorurati (toluene, trielina, tricloroetano)",9,2,1,10,11,0.8181818181818182,0.9,0.8571428571428572
Basi (soluzioni basiche/ammoniaca),6,5,3,9,11,0.5454545454545454,0.6666666666666666,0.6
"Attrezzature/utensili (bisturi, spazzolini, ponteggi)",4,2,9,13,6,0.6666666666666666,0.3076923076923077,0.42105263157894735
Resine fluorurate,7,4,1,8,11,0.6363636363636364,0.875,0.7368421052631579
Antitarlo/insetticidi/disinfestazione,2,6,8,10,8,0.25,0.2,0.22222222222222224
"Cellulosa e polpe (arbocell, polpa di carta/cellulosa)",3,1,8,11,4,0.75,0.2727272727272727,0.39999999999999997
"Materiali plastici (PVC, polietilene, plexiglas, nylon, velcro)",5,0,5,10,5,1.0,0.5,0.6666666666666666
Tensioattivi e detergenti anionici/cationici,2,11,0,2,13,0.15384615384615385,1.0,0.2666666666666667
Adesivi acrilici (Beva e simili),3,6,2,5,9,0.3333333333333333,0.6,0.42857142857142855
Resine siliconiche/silossaniche,2,7,3,5,9,0.2222222222222222,0.4,0.2857142857142857
"Supporti e protezioni temporanee (carta siliconata, fodere, tamponi, spugne)",1,6,5,6,7,0.14285714285714285,0.16666666666666666,0.15384615384615383
Acidi (soluzioni acide),4,0,3,7,4,1.0,0.5714285714285714,0.7272727272727273
Malte strutturali/alte prestazioni,3,5,0,3,8,0.375,1.0,0.5454545454545454
Resine metacriliche/viniliche,1,7,2,3,8,0.125,0.3333333333333333,0.18181818181818182
Protettivi silossanici/idrorepellenti a base silicio,4,2,0,4,6,0.6666666666666666,1.0,0.8
"Reti e armature (rete elettrosaldata, reti in fibra, Mapegrid)",2,1,5,7,3,0.6666666666666666,0.2857142857142857,0.4
Ossidanti/riducenti (acqua ossigenata e simili),2,4,1,3,6,0.3333333333333333,0.6666666666666666,0.4444444444444444
Chelanti (EDTA e simili),4,0,0,4,4,1.0,1.0,1.0
"Elementi di rinforzo (barre filettate, microbarre, piastre, profili)",1,4,1,2,5,0.2,0.5,0.28571428571428575
Protettivi/idrofobizzanti (generici),2,3,0,2,5,0.4,1.0,0.5714285714285715
"Materiali per coperture (coppi, tegole, scossaline, membrane)",1,1,3,4,2,0.5,0.25,0.3333333333333333
Resine termoplastiche/retoucher,2,1,1,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
Consolidanti organici (generici),1,2,1,2,3,0.3333333333333333,0.5,0.4
Adesivi vinilici (Vinavil e simili),0,2,2,2,2,0.0,0.0,0.0
Resine poliammidiche/altre sintetiche,1,0,1,2,1,1.0,0.5,0.6666666666666666
Pulitura meccanica,0,1,0,0,1,0.0,0.0,0.0
