record_id,field,type,TP,TN,FP,FN,precision,recall,f1,accuracy,jaccard,exact_match,balanced_accuracy,mcc,size_abs_error,true_size,pred_size,gt_empty,pred_empty,excluded_empty_empty,true_value,pred_value
GT_1__row0005,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)"
GT_1__row0005,technique_used,multilabel,2,20,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte,Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte
GT_1__row0005,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0005,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Fessure/fenditure/fratture/rotture,Fessure/fenditure/fratture/rotture
GT_1__row0006,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0006,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0006,materials_used,multilabel,4,65,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,4,4,0,0,0,"Inerti e sabbie|Materiali lapidei (pietra, marmo, ardesia, litotipi)|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Carta e carte tecniche (giapponese, velina, riso, assorbente)","Inerti e sabbie|Materiali lapidei (pietra, marmo, ardesia, litotipi)|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Carta e carte tecniche (giapponese, velina, riso, assorbente)"
GT_1__row0006,technique_used,multilabel,3,18,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8429272304235247,1,4,3,0,0,0,"Stuccatura / integrazione con malte|Indagini diagnostiche e analisi preliminari|Consolidamento per iniezione / impregnazione|Rimozione di depositi, scialbature o vernici","Stuccatura / integrazione con malte|Consolidamento per iniezione / impregnazione|Rimozione di depositi, scialbature o vernici"
GT_1__row0006,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0006,working_issue,multilabel,3,12,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,Fessure/fenditure/fratture/rotture|Lacune/perdite di materiale|Distacco/disancoraggio,Fessure/fenditure/fratture/rotture|Lacune/perdite di materiale|Distacco/disancoraggio
GT_1__row0007,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0007,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Volte,Volte
GT_1__row0007,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,"Attrezzature/utensili (bisturi, spazzolini, ponteggi)","Attrezzature/utensili (bisturi, spazzolini, ponteggi)"
GT_1__row0007,technique_used,multilabel,3,19,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte|Pulitura meccanica,Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte|Pulitura meccanica
GT_1__row0007,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0007,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Fessure/fenditure/fratture/rotture,Fessure/fenditure/fratture/rotture
GT_1__row0008,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0008,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0008,materials_used,multilabel,4,65,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,4,4,0,0,0,"Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Calce (grassello, calce dolce, calce storica)","Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Calce (grassello, calce dolce, calce storica)"
GT_1__row0008,technique_used,multilabel,3,18,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8429272304235247,1,4,3,0,0,0,Pulitura meccanica|Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte|Consolidamento superficiale,Pulitura meccanica|Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte
GT_1__row0008,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0008,working_issue,multilabel,2,12,0,1,1.0,0.6666666666666666,0.8,,0.6666666666666666,0.0,0.8333333333333333,0.7844645405527361,1,3,2,0,0,0,Fessure/fenditure/fratture/rotture|Deformazioni/dislocazioni/sconnessioni|Decoesione/polverizzazione,Fessure/fenditure/fratture/rotture|Deformazioni/dislocazioni/sconnessioni
GT_1__row0009,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0009,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Volte,Volte
GT_1__row0009,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)"
GT_1__row0009,technique_used,multilabel,3,19,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,Consolidamento superficiale|Pulitura meccanica|Stuccatura / integrazione con malte,Consolidamento superficiale|Pulitura meccanica|Stuccatura / integrazione con malte
GT_1__row0009,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0009,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Fessure/fenditure/fratture/rotture,Fessure/fenditure/fratture/rotture
GT_1__row0010,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0010,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0010,materials_used,multilabel,2,67,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,"Malte a base calce (premiscelate o tradizionali)|Attrezzature/utensili (bisturi, spazzolini, ponteggi)","Malte a base calce (premiscelate o tradizionali)|Attrezzature/utensili (bisturi, spazzolini, ponteggi)"
GT_1__row0010,technique_used,multilabel,3,19,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,"Rimozione di depositi, scialbature o vernici|Stuccatura / integrazione con malte|Consolidamento per iniezione / impregnazione","Rimozione di depositi, scialbature o vernici|Stuccatura / integrazione con malte|Consolidamento per iniezione / impregnazione"
GT_1__row0010,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0010,working_issue,multilabel,2,11,0,2,1.0,0.5,0.6666666666666666,,0.5,0.0,0.75,0.6504436355879909,2,4,2,0,0,0,Lacune/perdite di materiale|Decoesione/polverizzazione|Distacco/disancoraggio|Rischi in movimentazione/sollevamento,Lacune/perdite di materiale|Rischi in movimentazione/sollevamento
GT_1__row0011,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0011,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0011,materials_used,multilabel,4,65,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,4,4,0,0,0,"Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Solventi organici polari (acetone, etilacetato, MEK, DMF, DMSO)","Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Solventi organici polari (acetone, etilacetato, MEK, DMF, DMSO)"
GT_1__row0011,technique_used,multilabel,1,20,0,1,1.0,0.5,0.6666666666666666,,0.5,0.0,0.75,0.6900655593423543,1,2,1,0,0,0,Stuccatura / integrazione con malte|Pulitura chimica,Stuccatura / integrazione con malte
GT_1__row0011,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0011,working_issue,multilabel,2,13,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,"Lacune/perdite di materiale|Problemi di superficie (bagnabilità, residui, macchie)","Lacune/perdite di materiale|Problemi di superficie (bagnabilità, residui, macchie)"
GT_1__row0012,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0012,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0012,materials_used,multilabel,3,65,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8594395636904107,1,4,3,0,0,0,"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Carta e carte tecniche (giapponese, velina, riso, assorbente)|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Solventi organici polari (acetone, etilacetato, MEK, DMF, DMSO)","Carta e carte tecniche (giapponese, velina, riso, assorbente)|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Solventi organici polari (acetone, etilacetato, MEK, DMF, DMSO)"
GT_1__row0012,technique_used,multilabel,3,18,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8429272304235247,1,4,3,0,0,0,"Stuccatura / integrazione con malte|Pulitura meccanica|Pulitura chimica|Rimozione di depositi, scialbature o vernici",Stuccatura / integrazione con malte|Pulitura meccanica|Pulitura chimica
GT_1__row0012,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0012,working_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0013,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0013,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0013,materials_used,multilabel,3,66,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,"Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)"
GT_1__row0013,technique_used,multilabel,1,20,0,1,1.0,0.5,0.6666666666666666,,0.5,0.0,0.75,0.6900655593423543,1,2,1,0,0,0,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica,Integrazione pittorica / reintegrazione cromatica
GT_1__row0013,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0013,working_issue,multilabel,2,13,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Fessure/fenditure/fratture/rotture|Lacune/perdite di materiale,Fessure/fenditure/fratture/rotture|Lacune/perdite di materiale
GT_1__row0014,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0014,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0014,materials_used,multilabel,3,66,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,Cemento/calcestruzzo/cementite|Consolidanti organici (generici)|Malte a base calce (premiscelate o tradizionali),Cemento/calcestruzzo/cementite|Consolidanti organici (generici)|Malte a base calce (premiscelate o tradizionali)
GT_1__row0014,technique_used,multilabel,3,18,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8429272304235247,1,4,3,0,0,0,Interventi su intonaci (intonacatura / reintonacatura)|Pulitura meccanica|Consolidamento superficiale|Stuccatura / integrazione con malte,Interventi su intonaci (intonacatura / reintonacatura)|Pulitura meccanica|Stuccatura / integrazione con malte
GT_1__row0014,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0014,working_issue,multilabel,2,12,0,1,1.0,0.6666666666666666,0.8,,0.6666666666666666,0.0,0.8333333333333333,0.7844645405527361,1,3,2,0,0,0,Decoesione/polverizzazione|Distacco/disancoraggio|Instabilità strutturale/degli assemblaggi,Decoesione/polverizzazione|Instabilità strutturale/degli assemblaggi
GT_1__row0015,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0015,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Volte,Volte
GT_1__row0015,materials_used,multilabel,4,63,1,1,0.8,0.8,0.8000000000000002,,0.6666666666666666,0.0,0.8921875,0.784375,0,5,5,0,0,0,"Materiali lapidei (pietra, marmo, ardesia, litotipi)|Inerti e sabbie|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Calce idraulica / NHL|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)","Materiali lapidei (pietra, marmo, ardesia, litotipi)|Pulitura meccanica|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Calce idraulica / NHL|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)"
GT_1__row0015,technique_used,multilabel,2,19,0,1,1.0,0.6666666666666666,0.8,,0.6666666666666666,0.0,0.8333333333333333,0.7958224257542214,1,3,2,0,0,0,"Stuccatura / integrazione con malte|Rimozione di depositi, scialbature o vernici|Consolidamento superficiale","Stuccatura / integrazione con malte|Rimozione di depositi, scialbature o vernici"
GT_1__row0015,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0015,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Lacune/perdite di materiale,Lacune/perdite di materiale
GT_1__row0016,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0016,zone,multilabel,2,17,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Volte|Murature,Volte|Murature
GT_1__row0016,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Malte a base calce (premiscelate o tradizionali),Malte a base calce (premiscelate o tradizionali)
GT_1__row0016,technique_used,multilabel,1,21,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Stuccatura / integrazione con malte,Stuccatura / integrazione con malte
GT_1__row0016,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0016,working_issue,multilabel,0,14,0,1,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,1,1,0,0,1,0,Lacune/perdite di materiale,
GT_1__row0017,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0017,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murature,Murature
GT_1__row0017,materials_used,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0017,technique_used,multilabel,1,21,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Stuccatura / integrazione con malte,Stuccatura / integrazione con malte
GT_1__row0017,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0017,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Fessure/fenditure/fratture/rotture,Fessure/fenditure/fratture/rotture
GT_1__row0018,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0018,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murature,Murature
GT_1__row0018,materials_used,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0018,technique_used,multilabel,1,20,0,1,1.0,0.5,0.6666666666666666,,0.5,0.0,0.75,0.6900655593423543,1,2,1,0,0,0,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica,Stuccatura / integrazione con malte
GT_1__row0018,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0018,working_issue,multilabel,2,13,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Fessure/fenditure/fratture/rotture|Lacune/perdite di materiale,Fessure/fenditure/fratture/rotture|Lacune/perdite di materiale
GT_1__row0019,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0019,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murature,Murature
GT_1__row0019,materials_used,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0019,technique_used,multilabel,2,20,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica
GT_1__row0019,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0019,working_issue,multilabel,2,13,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Lacune/perdite di materiale|Deformazioni/dislocazioni/sconnessioni,Lacune/perdite di materiale|Deformazioni/dislocazioni/sconnessioni
GT_1__row0020,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0020,zone,multilabel,0,17,1,1,0.0,0.0,0.0,,0.0,0.0,0.4722222222222222,-0.05555555555555555,0,1,1,0,0,0,Murature,Volte
GT_1__row0020,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)"
GT_1__row0020,technique_used,multilabel,3,19,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica|Ritocco / velatura / patinatura,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica|Ritocco / velatura / patinatura
GT_1__row0020,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0020,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Lacune/perdite di materiale,Lacune/perdite di materiale
GT_1__row0021,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0021,zone,multilabel,0,17,1,1,0.0,0.0,0.0,,0.0,0.0,0.4722222222222222,-0.05555555555555555,0,1,1,0,0,0,Murature,Cappelle
GT_1__row0021,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)"
GT_1__row0021,technique_used,multilabel,2,20,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica,Stuccatura / integrazione con malte|Integrazione pittorica / reintegrazione cromatica
GT_1__row0021,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0021,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Lacune/perdite di materiale,Lacune/perdite di materiale
